campaignName,campaignId,sent,delivered,read,failed,timestamp
final_discount_exp_4_job_dec_data,679c89c05f8cf809ccd56a51,0,0,0,0,2025-04-02T14:41:49.066Z
dec_unpaid_full_high_score_2,679c800e2c1f3809cc2be0b7,0,0,0,0,2025-04-02T14:41:50.110Z
dec_unpaid_full_high_score,679c7a28d5a79e09c8cd9dd0,0,0,0,0,2025-04-02T14:41:51.162Z
final_discount_exp_3_job,679c77e02c1f3809cc2bde72,0,0,0,0,2025-04-02T14:41:52.200Z
final_discount_exp_3_skill,679c774c3304b109cb8e59b9,0,0,0,0,2025-04-02T14:41:53.266Z
t1_t2_unpaid_new_v1_low_2,679ba8dfd5a79e09c8cd820b,,,,,2025-04-02T14:42:09.174Z
t1_paid_t2_new_skill_v1_nov_1_7,679ba55f33aadb09cbfb9039,0,0,0,0,2025-04-02T14:42:15.910Z
t1__paid_t2_new_job_v1_nov_1_7,679ba502d5a79e09c8cd819c,0,0,0,0,2025-04-02T14:42:16.934Z
t1__paid_t2_new_skill_v1_nov_1_7,679ba3023beef809c71709f5,0,0,0,0,2025-04-02T14:42:17.958Z
followup_exp_unpaid_sep_2,679b321fddd3d109cf00c9d5,0,0,0,0,2025-04-02T14:42:18.992Z
followup_unpaid_sep_exp_1,679b318f3beef809c716f0cc,0,0,0,0,2025-04-02T14:42:20.041Z
final_discount_exp_2_skill,679b233c3beef809c716ee08,0,0,0,0,2025-04-02T14:42:21.063Z
final_discount_exp_2_job,679b22c5d5a79e09c8cd65b4,0,0,0,0,2025-04-02T14:42:22.081Z
final_discount_exp_1_skill,679a44e2ec594e09cc3340d8,0,0,0,0,2025-04-02T14:42:23.106Z
final_discount_exp_1_job,679a44c4ec594e09cc3340d1,0,0,0,0,2025-04-02T14:42:24.138Z
gsinvite_contacts_invite_friends_academy_cat_2,679a24732ef83009cd324401,0,0,0,0,2025-04-02T14:42:25.161Z
gsinvite_contacts_invite_friends_academy_cat_1,679a21c83beef809c716ca08,0,0,0,0,2025-04-02T14:42:26.197Z
t1_t2_unpaid_new_v1_low_score,679a021ed5a79e09c8cd3a6a,0,0,0,0,2025-04-02T14:42:27.217Z
t1_t2_unpaid_new_v1_high_score,6799eea0d5a79e09c8cd3678,0,0,0,0,2025-04-02T14:42:28.242Z
morethan60_course_test_high_1,6798fc28303c1a09c6472764,0,0,0,0,2025-04-02T14:42:29.265Z
morethan60_course_test_1,6798fb2a38db5809c98823e5,0,0,0,0,2025-04-02T14:42:30.288Z
company_hook_exp_high_v1,6798d60d303c1a09c647208a,0,0,0,0,2025-04-02T14:42:31.317Z
company_hook_exp_low_v1,6798d33127d32f09c642c92b,0,0,0,0,2025-04-02T14:42:32.342Z
followup_certified_v16_high_3,67987f5ecf97329c2692ddb1,0,0,0,0,2025-04-02T14:42:33.373Z
nov_21_t2_exp_1,67979750df2f8b718bd644da,0,0,0,0,2025-04-02T14:42:34.397Z
dec_5_t2_exp_1,6797793f6a8cdc09c7c08c99,0,0,0,0,2025-04-02T14:42:35.424Z
nov_14_t2_exp_1,679767390affff09cb64488e,0,0,0,0,2025-04-02T14:42:36.447Z
lessthan50_course_test_jan_6_2,67926decfec81209e9839fc4,0,0,0,0,2025-04-02T14:42:37.479Z
lessthan50_course_test_jan_6,6792407b0e294a09cae4549e,0,0,0,0,2025-04-02T14:42:38.506Z
lessthan60_course_test2_jan_5,67922c8e17b2b709cad65481,0,0,0,0,2025-04-02T14:42:39.526Z
morethan60_course_test_jan_5,67922ab90e294a09cae446de,0,0,0,0,2025-04-02T14:42:40.553Z
lessthan60_course_test_5_jan,6792279b6e3bf809cc95bdfa,0,0,0,0,2025-04-02T14:42:41.579Z
